tomo_id,Number of motors
tomo_003acc,0
tomo_00e047,1
tomo_00e463,6
tomo_00e463,6
tomo_00e463,6
tomo_00e463,6
tomo_00e463,6
tomo_00e463,6
tomo_01a877,1
tomo_02862f,1
tomo_0308c5,0
tomo_0333fa,0
tomo_033ebe,1
tomo_03437b,1
tomo_0363f2,1
tomo_040b80,0
tomo_049310,0
tomo_04d42b,0
tomo_05b39c,0
tomo_05df8a,1
tomo_05f919,1
tomo_066095,0
tomo_06e11e,0
tomo_072a16,0
tomo_081a2d,1
tomo_08446f,2
tomo_08446f,2
tomo_087d64,0
tomo_08a6d6,0
tomo_08bf73,0
tomo_098751,0
tomo_0a180f,0
tomo_0a8f05,1
tomo_0c2749,0
tomo_0c3a99,1
tomo_0c3d78,0
tomo_0d4c9e,0
tomo_0da370,1
tomo_0de3ee,2
tomo_0de3ee,2
tomo_0e9757,0
tomo_0eb41e,0
tomo_0eb994,1
tomo_0f9df0,1
tomo_0fab19,1
tomo_0fe63f,1
tomo_101279,1
tomo_10a3bd,0
tomo_10c564,1
tomo_122a02,1
tomo_122c46,0
tomo_12f896,1
tomo_13484c,1
tomo_134bb0,1
tomo_136c8d,0
tomo_138018,1
tomo_13973d,1
tomo_139d9e,1
tomo_1446aa,1
tomo_146de2,0
tomo_16136a,1
tomo_161683,1
tomo_16efa8,1
tomo_16fce8,0
tomo_17143f,0
tomo_172f08,0
tomo_180bfd,0
tomo_183270,0
tomo_191bcb,1
tomo_19a313,1
tomo_19a4fd,1
tomo_1ab322,1
tomo_1af88d,1
tomo_1b82d1,4
tomo_1b82d1,4
tomo_1b82d1,4
tomo_1b82d1,4
tomo_1c2534,0
tomo_1c38fd,1
tomo_1c75ac,0
tomo_1cc887,1
tomo_1da097,2
tomo_1da097,2
tomo_1da0da,0
tomo_1dc5f9,0
tomo_1e9980,0
tomo_1efc28,1
tomo_1f0e78,1
tomo_1fb6a7,0
tomo_20a9ed,1
tomo_210371,1
tomo_221a47,1
tomo_221c8e,0
tomo_225d8f,1
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_226cd8,10
tomo_22976c,0
tomo_229f0a,0
tomo_23a8e8,1
tomo_23c8a4,0
tomo_23ce49,1
tomo_247826,0
tomo_24795a,1
tomo_2483bb,1
tomo_24a095,0
tomo_24fda8,0
tomo_256717,1
tomo_25780f,1
tomo_2645a0,0
tomo_278194,0
tomo_285454,0
tomo_285d15,1
tomo_288d4f,0
tomo_28f9c1,0
tomo_2a6091,1
tomo_2a6ca2,1
tomo_2a89bb,0
tomo_2acf68,1
tomo_2aeb29,0
tomo_2b3cdf,2
tomo_2b996c,0
tomo_2bb588,1
tomo_2c607f,1
tomo_2c8ea2,1
tomo_2c9da1,1
tomo_2c9f35,0
tomo_2cace2,0
tomo_2daaee,4
tomo_2daaee,4
tomo_2daaee,4
tomo_2daaee,4
tomo_2dcd5c,1
tomo_2dd6bd,0
tomo_2e1f4c,1
tomo_2f3261,1
tomo_2fb12d,0
tomo_2fc82d,0
tomo_305c97,1
tomo_307f33,0
tomo_30b580,1
tomo_30d4e5,1
tomo_317656,1
tomo_3183d2,1
tomo_319f79,1
tomo_3264bc,0
tomo_32aaa7,1
tomo_331130,1
tomo_35ec84,0
tomo_369cce,1
tomo_37076e,1
tomo_372690,0
tomo_372a5c,1
tomo_374ca7,0
tomo_375513,1
tomo_378f43,1
tomo_37c426,0
tomo_37dd38,3
tomo_37dd38,3
tomo_37dd38,3
tomo_381add,2
tomo_381add,2
tomo_385eb6,0
tomo_38c2a6,1
tomo_38d285,0
tomo_399bd9,1
tomo_39b15b,0
tomo_3a0914,0
tomo_3a3519,0
tomo_3a6a9d,0
tomo_3a8480,2
tomo_3a8480,2
tomo_3b1cc9,0
tomo_3b7a22,0
tomo_3b8291,0
tomo_3b83c7,1
tomo_3c6038,1
tomo_3e6ead,0
tomo_3e7407,4
tomo_3e7407,4
tomo_3e7407,4
tomo_3e7407,4
tomo_3e7783,1
tomo_3eb9c8,1
tomo_401341,1
tomo_4077d8,1
tomo_40b215,0
tomo_4102f1,1
tomo_412d88,1
tomo_417e5f,1
tomo_41ea80,0
tomo_423d52,1
tomo_444829,1
tomo_4469a7,0
tomo_4555b6,1
tomo_455dcd,1
tomo_46250a,1
tomo_464108,0
tomo_466489,0
tomo_47ac94,0
tomo_47c399,1
tomo_47d380,0
tomo_48dc93,2
tomo_48dc93,2
tomo_4925ee,0
tomo_493bea,1
tomo_49725c,2
tomo_49725c,2
tomo_499ee0,0
tomo_49f4ee,1
tomo_4b124b,1
tomo_4b59a2,1
tomo_4baff0,0
tomo_4c1ca8,0
tomo_4c2e4e,0
tomo_4d528f,0
tomo_4e1b18,0
tomo_4e38b8,1
tomo_4e3e37,0
tomo_4e41c2,0
tomo_4e478f,1
tomo_4ed9de,1
tomo_4ee35e,1
tomo_4f379f,1
tomo_4f5a7b,0
tomo_507b7a,2
tomo_507b7a,2
tomo_50cbd9,0
tomo_50f0bf,0
tomo_510f4e,1
tomo_512f98,0
tomo_513010,1
tomo_516cdd,1
tomo_517f70,1
tomo_518a1f,1
tomo_51a47f,1
tomo_51a77e,0
tomo_5308e8,0
tomo_532d49,1
tomo_539259,1
tomo_53c71b,0
tomo_53e048,1
tomo_54e1a7,0
tomo_556257,1
tomo_568537,1
tomo_569981,0
tomo_56b9a3,1
tomo_57592d,1
tomo_5764d6,1
tomo_57c814,1
tomo_5984bf,0
tomo_59b470,1
tomo_5b087f,1
tomo_5b34b2,1
tomo_5b359d,0
tomo_5b8db4,0
tomo_5ba0cf,2
tomo_5ba0cf,2
tomo_5bb31c,0
tomo_5d01e8,0
tomo_5d4c65,4
tomo_5d4c65,4
tomo_5d4c65,4
tomo_5d4c65,4
tomo_5d798e,1
tomo_5dd63d,1
tomo_5e2a91,1
tomo_5f1f0c,0
tomo_5f235a,1
tomo_5f34b3,0
tomo_603e40,1
tomo_60d478,1
tomo_60ddbd,1
tomo_616f0b,1
tomo_61e947,0
tomo_622ca9,1
tomo_62dbea,1
tomo_62eea8,2
tomo_6303f0,1
tomo_634b06,4
tomo_634b06,4
tomo_634b06,4
tomo_634b06,4
tomo_63e635,0
tomo_640a74,1
tomo_643b20,1
tomo_646049,0
tomo_6478e5,0
tomo_648adf,0
tomo_651ec2,0
